date,province,max,min,rain,humidi,averageTemp
2009-01-01,Ho Chi Minh City,29.0,22.0,18.5,89.0,25.5
2009-01-02,Ho Chi Minh City,28.0,22.0,1.8,83.0,25.0
2009-01-03,Ho Chi Minh City,25.0,22.0,7.2,87.0,23.5
2009-01-04,Ho Chi Minh City,29.0,21.0,0.5,83.0,25.0
2009-01-05,Ho Chi Minh City,31.0,21.0,0.0,77.0,26.0
2009-01-06,Ho Chi Minh City,32.0,22.0,0.3,77.0,27.0
2009-01-07,Ho Chi Minh City,32.0,23.0,3.8,81.0,27.5
2009-01-08,Ho Chi Minh City,31.0,22.0,0.0,74.0,26.5
2009-01-09,Ho Chi Minh City,32.0,20.0,0.0,66.0,26.0
2009-01-10,Ho Chi Minh City,28.0,18.0,0.0,66.0,23.0
2009-01-11,Ho Chi Minh City,28.0,18.0,0.0,69.0,23.0
2009-01-12,Ho Chi Minh City,29.0,19.0,0.0,69.0,24.0
2009-01-13,Ho Chi Minh City,29.0,21.0,0.0,63.0,25.0
2009-01-14,Ho Chi Minh City,30.0,18.0,0.0,64.0,24.0
2009-01-15,Ho Chi Minh City,30.0,18.0,0.0,65.0,24.0
2009-01-16,Ho Chi Minh City,31.0,20.0,0.0,67.0,25.5
2009-01-17,Ho Chi Minh City,35.0,20.0,0.0,66.0,27.5
2009-01-18,Ho Chi Minh City,35.0,21.0,0.0,68.0,28.0
2009-01-19,Ho Chi Minh City,36.0,22.0,0.0,66.0,29.0
2009-01-20,Ho Chi Minh City,36.0,22.0,0.0,67.0,29.0
2009-01-21,Ho Chi Minh City,36.0,21.0,0.0,64.0,28.5
2009-01-22,Ho Chi Minh City,34.0,23.0,0.0,67.0,28.5
2009-01-23,Ho Chi Minh City,29.0,24.0,0.2,75.0,26.5
2009-01-24,Ho Chi Minh City,29.0,24.0,0.1,72.0,26.5
2009-01-25,Ho Chi Minh City,33.0,24.0,0.0,65.0,28.5
2009-01-26,Ho Chi Minh City,35.0,23.0,0.0,63.0,29.0
2009-01-27,Ho Chi Minh City,34.0,24.0,0.0,62.0,29.0
2009-01-28,Ho Chi Minh City,34.0,23.0,0.0,60.0,28.5
2009-01-29,Ho Chi Minh City,35.0,22.0,0.0,60.0,28.5
2009-01-30,Ho Chi Minh City,35.0,22.0,0.0,62.0,28.5
2009-01-31,Ho Chi Minh City,36.0,24.0,0.0,62.0,30.0
2009-02-01,Ho Chi Minh City,35.0,23.0,0.0,62.0,29.0
2009-02-02,Ho Chi Minh City,34.0,22.0,0.0,58.0,28.0
2009-02-03,Ho Chi Minh City,33.0,23.0,0.0,65.0,28.0
2009-02-04,Ho Chi Minh City,33.0,23.0,0.0,64.0,28.0
2009-02-05,Ho Chi Minh City,34.0,22.0,0.0,65.0,28.0
2009-02-06,Ho Chi Minh City,36.0,22.0,0.0,55.0,29.0
2009-02-07,Ho Chi Minh City,36.0,22.0,0.0,57.0,29.0
